,login,start_date,era,file_name
371,djmitche,2019-11-03 03:50:16,pre,mozilla_deepspeech
372,dsteinman,2019-02-22 20:00:29,pre,mozilla_deepspeech
373,dzubke,2021-02-28 20:58:58,during,mozilla_deepspeech
374,eagledot,2020-06-17 04:32:06,during,mozilla_deepspeech
375,eggonlea,2019-02-26 01:37:08,pre,mozilla_deepspeech
376,erksch,2020-07-27 12:31:39,during,mozilla_deepspeech
377,ftyers,2020-10-21 14:59:54,during,mozilla_deepspeech
378,gregnr,2020-05-25 03:33:51,during,mozilla_deepspeech
379,imrahul361,2021-04-19 07:41:18,during,mozilla_deepspeech
380,imskr,2020-02-23 08:49:41,pre,mozilla_deepspeech
381,jimregan,2020-04-16 20:43:00,during,mozilla_deepspeech
382,jorxster,2019-02-21 06:03:25,pre,mozilla_deepspeech
383,jschueller,2020-04-25 12:12:23,during,mozilla_deepspeech
384,karansag,2020-07-10 19:23:01,during,mozilla_deepspeech
385,kristiank,2019-01-25 12:47:51,pre,mozilla_deepspeech
386,liezl200,2020-10-23 09:06:21,during,mozilla_deepspeech
387,lnesteroff,2019-10-18 01:46:19,pre,mozilla_deepspeech
388,lwalejko,2020-04-30 13:16:15,during,mozilla_deepspeech
389,madprogramer,2020-04-16 12:41:53,during,mozilla_deepspeech
390,marekjg,2020-06-03 16:02:39,during,mozilla_deepspeech
391,mdigiorgio,2019-04-09 10:26:37,pre,mozilla_deepspeech
392,mrstegeman,2020-07-31 20:44:17,during,mozilla_deepspeech
393,mychiux413,2019-11-29 08:00:16,pre,mozilla_deepspeech
394,nmstoker,2021-02-25 13:26:11,during,mozilla_deepspeech
395,olafthiele,2020-09-08 12:23:43,during,mozilla_deepspeech
396,pbxqdown,2020-07-11 23:01:15,during,mozilla_deepspeech
397,pietrop,2019-12-04 14:24:03,pre,mozilla_deepspeech
398,ptitloup,2020-08-20 07:17:48,during,mozilla_deepspeech
399,qboot,2019-03-03 16:24:26,pre,mozilla_deepspeech
400,rcgale,2019-08-01 18:16:31,pre,mozilla_deepspeech
401,rhamnett,2020-02-17 12:22:07,pre,mozilla_deepspeech
402,ryojiysd,2019-10-23 01:19:26,pre,mozilla_deepspeech
403,sholtrop,2020-12-07 20:05:42,during,mozilla_deepspeech
404,stepkillah,2020-10-13 07:25:40,during,mozilla_deepspeech
405,suriyaa,2020-10-27 10:03:46,during,mozilla_deepspeech
406,thecodrr,2019-12-11 15:17:00,pre,mozilla_deepspeech
407,vinhngx,2019-10-01 14:04:10,pre,mozilla_deepspeech
408,zaptrem,2021-02-12 04:53:06,during,mozilla_deepspeech
409,1AB9502,2019-07-11 16:26:29,pre,apache_superset
410,7vikpeculiar,2022-03-10 02:46:32,post,apache_superset
411,AAfghahi,2021-02-03 15:14:29,during,apache_superset
412,AlexRRR,2019-02-01 13:57:15,pre,apache_superset
413,AndVK,2022-09-15 10:39:31,post,apache_superset
414,Antonio-RiveroMartnez,2022-06-23 13:28:55,post,apache_superset
415,Bonifacio2,2021-05-08 21:48:51,post,apache_superset
416,Caahlo,2019-11-26 10:13:15,pre,apache_superset
417,ChristopherCFleming,2021-12-13 20:04:50,post,apache_superset
418,CoryChaplin,2019-06-11 10:07:30,pre,apache_superset
419,DLT1412,2022-03-07 06:54:27,post,apache_superset
420,Damans227,2021-11-01 19:03:26,post,apache_superset
421,DanRoscigno,2022-05-25 21:11:31,post,apache_superset
422,EBoisseauSierra,2020-08-26 09:20:31,during,apache_superset
423,ETselikov,2021-07-20 14:12:08,post,apache_superset
424,EugeneTorap,2022-01-23 04:19:42,post,apache_superset
425,Gwitchr,2022-03-23 17:59:31,post,apache_superset
426,JakobMiksch,2022-05-09 16:33:30,post,apache_superset
427,JasonD28,2020-06-18 18:39:50,during,apache_superset
428,JosueLugaro,2021-12-13 22:00:09,post,apache_superset
429,KKcorps,2019-08-07 10:38:58,pre,apache_superset
430,KilimAnnejaro,2019-01-07 17:24:58,pre,apache_superset
431,MaiTiano,2019-09-18 08:43:58,pre,apache_superset
432,MatanBobi,2021-05-18 12:47:17,post,apache_superset
433,MaxHuiYYDS,2021-08-05 06:52:34,post,apache_superset
434,MayUWish,2021-12-15 06:30:58,post,apache_superset
435,PApostol,2021-10-29 09:11:33,post,apache_superset
436,PMExtra,2020-11-19 11:53:35,during,apache_superset
437,Paulo-Eduardo,2022-08-18 21:42:17,post,apache_superset
438,Renderz,2022-06-02 02:23:38,post,apache_superset
439,TheLastSultan,2019-05-06 16:30:03,pre,apache_superset
440,Usiel,2022-07-12 11:05:27,post,apache_superset
441,Yann-J,2022-07-15 11:46:31,post,apache_superset
442,a5net,2021-01-24 14:47:03,during,apache_superset
